ActiveTicker,Name
XPA Index,S&P/ASX 200 Index
BOA Comdty,Soybean Oil
CCA Comdty,Cocoa
CLA Comdty,Bloomberg West Texas Intermediate
C A Comdty,Corn
HGA Comdty,Copper
CTA Comdty,Cotton No 2
GXA Index,DAX Index
VGA Index,Euro STOXX 50 Index
NQA Index,NASDAQ 100 Index
ESA Index,S&P 500 Index
GCA Comdty,Gold 100 Oz
LCA Comdty,Live Cattle
HOA Comdty,NY Harb ULSD
HIA Index,HANG SENG Index
KCA Comdty,Coffee
KMA Index,KOSPI 200 Index
LAA Comdty,Aluminium
LPA Comdty,Copper
LLA Comdty,Lead
LHA Comdty,Lean Hogs
LNA Comdty,Nickel
LXA Comdty,Zinc
NOA Index,Mini Nikkei 225
NGA Comdty,Henry Hub Natural Gas Spot
PAA Comdty,Palladium
PLA Comdty,Platinum
Z A Index,FTSE 100 Index
COA Comdty,Brent Crude
QSA Comdty,Low Sulphur Gasoline
XBA Comdty,Bloomberg 84 Octane RBOB Gasol
SBA Comdty,Sugar
SIA Comdty,Silver
SMA Comdty,Soybean Meal
S A Comdty,Soybean
SMA Index,SWISS MARKET Index
UXA Index,CBOE Volatility Index (VX) Futures
W A Comdty,Wheat
QCA Index,OMX STOCKHOLM 30 Index
DMA Index,E-mini Dow ($5)
